string_id,source_zh,tokenized_zh,module_tag,module_confidence,max_len_target,len_tier,source_locale,placeholder_flags,status,is_empty_source,is_long_text,target_text
BTN_0,确定,确定,ui_button,0.95,10,S,zh-CN,count=0,ok,False,False,Подтвердить
BTN_1,取消,取消,ui_button,0.95,10,S,zh-CN,count=0,ok,False,False,Отмена
BTN_2,返回,返回,ui_button,0.95,10,S,zh-CN,count=0,ok,False,False,Назад
UI_LABEL_3,当前等级：3,当前等级：3,ui_label,0.95,12,S,zh-CN,count=0,ok,False,False,Текущий уровень: 3
UI_LABEL_4,金币数量：4,金币数量：4,ui_label,0.95,12,S,zh-CN,count=0,ok,False,False,Золотые монеты: 4
SKILL_5,释放火球术，对敌人造成5点火焰伤害，并附加3秒燃烧效果。,释放火球术，对敌人造成5点火焰伤害，并附加3秒燃烧效果。,skill_desc,0.95,60,M,zh-CN,count=0,ok,False,False,"Выпустить огненный шар, нанеся врагу 5 урона огнём и добавив эффект горения на 3 секунды."
SKILL_6,召唤冰霜之刃，对范围内敌人造成6点冰冻伤害，降低移动速度50%。,召唤冰霜之刃，对范围内敌人造成6点冰冻伤害，降低移动速度50%。,skill_desc,0.95,68,M,zh-CN,count=0,ok,False,False,"Призвать ледяной клинок, нанеся врагам в области 6 урона льдом и снизив скорость передвижения на 50%."
ITEM_7,生命药水：使用后立即恢复7点生命值,生命药水：使用后立即恢复7点生命值,item_desc,0.95,36,M,zh-CN,count=0,ok,False,False,Зелье жизни: при использовании немедленно восстанавливает 7 здоровья
ITEM_8,魔法药水：使用后立即恢复8点魔法值,魔法药水：使用后立即恢复8点魔法值,item_desc,0.95,36,M,zh-CN,count=0,ok,False,False,Зелье маны: при использовании немедленно восстанавливает 8 маны
DIALOG_9,勇士，你终于来了。我等你很久了。这个世界正面临着前所未有的危机，只有你能拯救它。请接受这个任务，去北方的冰封之地，寻找传说中的圣剑。,勇士，你终于来了。我等你很久了。这个世界正面临着前所未有的危机，只有你能拯救它。请接受这个任务，去北方的冰封之地，寻找传说中的圣剑。,dialogue,0.95,141,L,zh-CN,count=0,ok,False,False,"Воин, ты наконец пришёл. Я долго тебя ждал. Этот мир стоит перед беспрецедентным кризисом, и только ты можешь его спасти. Прими это задание и отправляйся на север в Ледяные земли, чтобы найти легендарный святой меч."
SYS_10,网络连接失败，请检查网络设置,网络连接失败，请检查网络设置,system_notice,0.95,30,M,zh-CN,count=0,ok,False,False,Ошибка подключения к сети. Проверьте параметры сети
SYS_11,您的背包已满，无法拾取更多物品,您的背包已满，无法拾取更多物品,system_notice,0.95,32,M,zh-CN,count=0,ok,False,False,Ваш инвентарь полон. Невозможно подобрать больше предметов
BTN_12,确定,确定,ui_button,0.95,10,S,zh-CN,count=0,ok,False,False,Подтвердить
BTN_13,取消,取消,ui_button,0.95,10,S,zh-CN,count=0,ok,False,False,Отмена
BTN_14,返回,返回,ui_button,0.95,10,S,zh-CN,count=0,ok,False,False,Назад
UI_LABEL_15,当前等级：15,当前等级：15,ui_label,0.95,14,S,zh-CN,count=0,ok,False,False,Текущий уровень: 15
UI_LABEL_16,金币数量：16,金币数量：16,ui_label,0.95,14,S,zh-CN,count=0,ok,False,False,Золотые монеты: 16
SKILL_17,释放火球术，对敌人造成17点火焰伤害，并附加3秒燃烧效果。,释放火球术，对敌人造成17点火焰伤害，并附加3秒燃烧效果。,skill_desc,0.95,62,M,zh-CN,count=0,ok,False,False,"Выпустить огненный шар, нанеся врагу 17 урона огнём и добавив эффект горения на 3 секунды."
SKILL_18,召唤冰霜之刃，对范围内敌人造成18点冰冻伤害，降低移动速度50%。,召唤冰霜之刃，对范围内敌人造成18点冰冻伤害，降低移动速度50%。,skill_desc,0.95,70,M,zh-CN,count=0,ok,False,False,"Призвать ледяной клинок, нанеся врагам в области 18 урона льдом и снизив скорость передвижения на 50%."
ITEM_19,生命药水：使用后立即恢复19点生命值,生命药水：使用后立即恢复19点生命值,item_desc,0.95,38,M,zh-CN,count=0,ok,False,False,Зелье жизни: при использовании немедленно восстанавливает 19 здоровья
ITEM_20,魔法药水：使用后立即恢复20点魔法值,魔法药水：使用后立即恢复20点魔法值,item_desc,0.95,38,M,zh-CN,count=0,ok,False,False,Зелье маны: при использовании немедленно восстанавливает 20 маны
DIALOG_21,勇士，你终于来了。我等你很久了。这个世界正面临着前所未有的危机，只有你能拯救它。请接受这个任务，去北方的冰封之地，寻找传说中的圣剑。,勇士，你终于来了。我等你很久了。这个世界正面临着前所未有的危机，只有你能拯救它。请接受这个任务，去北方的冰封之地，寻找传说中的圣剑。,dialogue,0.95,141,L,zh-CN,count=0,ok,False,False,"Воин, ты наконец пришёл. Я долго тебя ждал. Этот мир стоит перед беспрецедентным кризисом, и только ты можешь его спасти. Прими это задание и отправляйся на север в Ледяные земли, чтобы найти легендарный святой меч."
SYS_22,网络连接失败，请检查网络设置,网络连接失败，请检查网络设置,system_notice,0.95,30,M,zh-CN,count=0,ok,False,False,Ошибка подключения к сети. Проверьте параметры сети
SYS_23,您的背包已满，无法拾取更多物品,您的背包已满，无法拾取更多物品,system_notice,0.95,32,M,zh-CN,count=0,ok,False,False,Ваш инвентарь полон. Невозможно подобрать больше предметов
BTN_24,确定,确定,ui_button,0.95,10,S,zh-CN,count=0,ok,False,False,Подтвердить
BTN_25,取消,取消,ui_button,0.95,10,S,zh-CN,count=0,ok,False,False,Отмена
BTN_26,返回,返回,ui_button,0.95,10,S,zh-CN,count=0,ok,False,False,Назад
UI_LABEL_27,当前等级：27,当前等级：27,ui_label,0.95,14,S,zh-CN,count=0,ok,False,False,Текущий уровень: 27
UI_LABEL_28,金币数量：28,金币数量：28,ui_label,0.95,14,S,zh-CN,count=0,ok,False,False,Золотые монеты: 28
SKILL_29,释放火球术，对敌人造成29点火焰伤害，并附加3秒燃烧效果。,释放火球术，对敌人造成29点火焰伤害，并附加3秒燃烧效果。,skill_desc,0.95,62,M,zh-CN,count=0,ok,False,False,"Выпустить огненный шар, нанеся врагу 29 урона огнём и добавив эффект горения на 3 секунды."
SKILL_30,召唤冰霜之刃，对范围内敌人造成30点冰冻伤害，降低移动速度50%。,召唤冰霜之刃，对范围内敌人造成30点冰冻伤害，降低移动速度50%。,skill_desc,0.95,70,M,zh-CN,count=0,ok,False,False,"Призвать ледяной клинок, нанеся врагам в области 30 урона льдом и снизив скорость передвижения на 50%."
ITEM_31,生命药水：使用后立即恢复31点生命值,生命药水：使用后立即恢复31点生命值,item_desc,0.95,38,M,zh-CN,count=0,ok,False,False,Зелье жизни: при использовании немедленно восстанавливает 31 здоровья
