"string_id","source_zh","tokenized_zh","target_ru","target_text"
"1","忍者升级、升星可大幅度提高忍者属性成长，升级属性加成提高。","忍者 升级 、 升星 可 大幅度提高 忍者 属性 成长 ， 升级 属性 加成 提高 。","","Повышение уровня и звёздности ниндзя значительно увеличивает рост их характеристик; бонус к характеристикам от уровня также повышается."
"2","忍者共分为13个星级，只有部分忍者可以突破到13星。","忍者 共 分为 13 个 星级 ， 只有 部分 忍者 可以 突破 到 13 星 。","","У ниндзя всего 13 уровней звёздности, но лишь некоторые ниндзя могут совершить прорыв до 13★."
"3","除血量、攻击、防御、速度4大基本属性外，还有16个特殊属性。","除 血量 、 攻击 、 防御 、 速度 4 大 基本 属性 外 ， 还有 16 个 特殊 属性 。","","Помимо 4 базовых характеристик — HP, атаки, защиты и скорости — есть ещё 16 особых характеристик."
"4","忍者初始质量从低到高为蓝、紫、橙，分别对应3-5星","忍者 初始 质量 从 低 到 高为 蓝 、 紫 、 橙 ， 分别 对应 3 - 5 星","","Начальное качество ниндзя (от низкого к высокому): синее, фиолетовое, оранжевое — соответствует 3–5★."
"5","升星可让部分忍者技能等级可达3级，通过潜能激发可解锁更高等级的技能","升星 可 让 部分 忍者 技能 等级 可达 3 级 ， 通过 潜能 激发 可 解锁 更 高等级 的 技能","","Повышение звёздности позволяет навыкам некоторых ниндзя достигать 3-го уровня; через пробуждение потенциала можно разблокировать навыки более высокого уровня."
"6","消耗忍者进行合成、突破等操作时，会将之前培养所消耗的资源将返还","消耗 忍者 进行 合成 、 突破 等 操作 时 ， 会 将 之前 培养 所 消耗 的 资源 将 返还","","При расходе ниндзя на синтез, прорыв и другие операции все ранее вложенные ресурсы будут возвращены."
"7","技能分为主动和被动。[沉默]阻止主动技能释放","技能 分为 主动 和 被动 。 [ 沉默 ] 阻止 主动 技能 释放","","Навыки делятся на активные и пассивные. [Молчание] запрещает использование активных навыков."
"8","忍者升星时会消耗本体忍者，所以在游戏前期需尽量保留本体","忍者 升星 时会 消耗 本体 忍者 ， 所以 在 游戏 前期 需 尽量 保留 本体","","При повышении звёздности ниндзя расходуются дубликаты этого ниндзя, поэтому на раннем этапе игры старайтесь по возможности сохранять дубликаты."
"9","忍者技能冷却分为2回合与4回合，4回合冷却的技能更加强力","忍者 技能 冷却 分为 2 回合 与 4 回合 ， 4 回合 冷却 的 技能 更加 强力","","Перезарядка навыков ниндзя бывает 2 и 4 хода; навыки с перезарядкой в 4 хода более мощные."
"10","阵容克制会极大提高忍者战斗力，具体表现为增加命中和伤害","阵容 克制 会 极大 提高 忍者 战斗力 ， 具体表现 为 增加 命中 和 伤害","","Контрпики в составе отряда значительно повышают боевую мощь ниндзя: увеличиваются меткость и урон."
"11","开始追讨叛忍时会自动进行扫荡，扫荡关数为昨日最高通关数-3","开始 追讨 叛忍 时会 自动 进行 扫荡 ， 扫荡 关数 为 昨日 最高 通关 数 - 3","","При начале «Охоты на ниндзя-отступников» автоматически выполняется рейд; количество пройденных этапов рейда = вчерашний максимум пройденных этапов − 3."
"12","每次挑战守卫木叶可选择1次增益buff，如果长时间不操作则系统自动选择","每次 挑战 守卫 木叶 可 选择 1 次 增益 buff ， 如果 长时间 不 操作 则 系统 自动 选择","","Каждый раз при испытании «Защита Конохи» можно выбрать 1 усиление (buff). Если долго не выполнять действий, система выберет автоматически."
"13","仙人试炼每2天重置1次，所累积的复活币道具不清空","仙人 试炼 每 2 天 重置 1 次 ， 所 累积 的 复活 币 道具 不 清空","","«Испытание Отшельника» сбрасывается раз в 2 дня; накопленные предметы «Монеты возрождения» не очищаются."
"14","晓·讨伐战除累积伤害奖励和排名奖励外，还有锦鲤奖抽取","晓 · 讨伐 战除 累积 伤害 奖励 和 排名 奖励 外 ， 还有 锦鲤 奖 抽取","","В «Акацуки · Карательном походе» помимо наград за накопленный урон и наград за рейтинг доступен ещё розыгрыш приза «Золотая рыбка»."
"15","精英召唤进行招募获得的精英召唤积分是稳定兑换心仪忍者的途径之一","精英 召唤 进行 招募 获得 的 精英 召唤 积分 是 稳定 兑换 心仪 忍者 的 途径 之一","","Очки элитного призыва, получаемые при найме в «Элитном призыве», — один из стабильных способов обменять их на желаемого ниндзя."
"16","高级招募每次十连必出5星忍者，并有概率出多位5星忍者","高级 招募 每次 十连 必出 5 星 忍者 ， 并 有 概率 出 多位 5 星 忍者","","В «Продвинутом найме» каждая «10 подряд» гарантированно даёт ниндзя 5★, а также есть шанс получить несколько ниндзя 5★."
"17","VIP等级达到3以上时，可消耗召唤获得的积分直接抽取5星忍者","VIP 等级 达到 3 以上 时 ， 可 消耗 召唤 获得 的 积分 直接 抽取 5 星 忍者","","При VIP-уровне 3 и выше можно потратить очки, полученные при призыве, чтобы напрямую разыграть ниндзя 5★."
"303074","当前军粮丸不足","当前 军粮 丸 不足","","Недостаточно армейских пилюль с провиантом."
"303075","自动接取","自动 接取","","Принять автоматически"
"303076","不符合任务条件","不 符合 任务 条件","","Условия задания не выполнены"
"303077","免费扫荡","免费 扫荡","","Бесплатный автопроход"
"303080","今日剩余: {0}次","今日 剩余 :   ⟦PH_1⟧ 次","","Осталось сегодня: ⟦PH_1⟧ раз"
"303084","次数不足","次数 不足","","Недостаточно попыток"
"303085","<color=#000000>每日限购: </c><color={2}>{0}/{1}</color>","< color = # 000000 > 每日 限购 :   < / c > < color = ⟦PH_2⟧ > ⟦PH_1⟧ / ⟦PH_3⟧ < / color >","","<color=#000000>Ежедневный лимит: </c><color=⟦PH_2⟧>⟦PH_1⟧/⟦PH_3⟧</color>"
"303086","免费倒计时:","免费 倒计时 :","","Бесплатно через:"
"303087","未达到{0}级","未 达到 ⟦PH_1⟧ 级","","Не достигнут уровень ⟦PH_1⟧"
"303089","战斗力","战斗力","","Боевая мощь"
