Model Name,Billing type,Price,Magnification,Grouping
gpt-4o,Pay-per-use - Chat,Suggested price: $ 2.5000 / 1M tokens Completion price: $ 10.0000 / 1M tokens,Prompt multiplier: 1.25 Completion ratio: 4.0000,DefaultSVIP
gpt-5.2-xhigh,Pay-per-use - Chat,Suggested price: $ 1.7500 / 1M tokens Completion price: $ 14.0000 / 1M tokens,Prompt multiplier: 0.875 Completion ratio: 8.0000,DefaultSVIP
longcat-flash-thinking,Pay-per-use - Chat,Suggested price: $ 0.1400 / 1M tokens Completion price: $ 1.4000 / 1M tokens,Prompt multiplier: 0.07 Completion ratio: 10.0000,DefaultSVIPChinaOpenSource
qwen-turbo-2025-07-15,Pay-per-use - Chat,Suggested price: $ 0.2000 / 1M tokens Completion price: $ 1.6000 / 1M tokens,Prompt multiplier: 0.1 Completion ratio: 8.0000,DefaultSVIP
qwen3-235b-a22b,Pay-per-use - Chat,Suggested price: $ 1.0000 / 1M tokens Completion price: $ 10.0000 / 1M tokens,Prompt multiplier: 0.5 Completion ratio: 10.0000,DefaultSVIPChinaOpenSource
qwen3-vl-plus,Pay-per-use - Chat,Suggested price: $ 0.3000 / 1M tokens Completion price: $ 2.4000 / 1M tokens,Prompt multiplier: 0.15 Completion ratio: 8.0000,DefaultSVIP
gpt-5-codex-mini,Pay-per-use - Chat,Suggested price: $ 2.0000 / 1M tokens Completion price: $ 2.0000 / 1M tokens,Prompt multiplier: 1 Completion ratio: 1.0000,DefaultSVIP
gpt-5.2-codex-medium,Pay-per-use - Chat,Suggested price: $ 1.7500 / 1M tokens Completion price: $ 14.0000 / 1M tokens,Prompt multiplier: 0.875 Completion ratio: 8.0000,DefaultSVIP
minimax-m2,Pay-per-use - Chat,Suggested price: $ 0.3000 / 1M tokens Completion price: $ 1.2000 / 1M tokens,Prompt multiplier: 0.15 Completion ratio: 4.0000,DefaultSVIPChinaOpenSource
qwen-plus-latest,Pay-per-use - Chat,Suggested price: $ 0.4000 / 1M tokens Completion price: $ 1.2000 / 1M tokens,Prompt multiplier: 0.2 Completion ratio: 3.0000,DefaultSVIP
text-moderation-latest,Pay-per-use - Chat,Suggested price: $ 0.2000 / 1M tokens Completion price: $ 0.2000 / 1M tokens,Prompt multiplier: 0.1 Completion ratio: 1.0000,DefaultSVIP
