string_id,source_zh,tokenized_zh
800001,通关{0}层解锁,通关⟦PH_2⟧层解锁
2373,我来保护这个村子,我来保护这个村子
2101,我从地狱回来了！,我从地狱回来了！
2012,让你看看我的全力,让你看看我的全力
2031,别小看了我的力量,别小看了我的力量
2441,唉，肚子饿了..,唉，肚子饿了..
2271,嗯、应该不会输啦,嗯、应该不会输啦
233,【精英】或以上,【精英】或以上
231,【中忍】或以上,【中忍】或以上
236,【仙人】或以上,【仙人】或以上
3,除血量、攻击、防御、速度4大基本属性外，还有16个特殊属性。,除血量、攻击、防御、速度4大基本属性外，还有16个特殊属性。
17,VIP等级达到3以上时，可消耗召唤获得的积分直接抽取5星忍者,VIP等级达到3以上时，可消耗召唤获得的积分直接抽取5星忍者
23,忍者在误操作升星后，可在忍者重生中消耗一定道具全额退回资源,忍者在误操作升星后，可在忍者重生中消耗一定道具全额退回资源
24,忍者上阵后，可启动对应阵营的属性增幅，为忍者提高百分比属性,忍者上阵后，可启动对应阵营的属性增幅，为忍者提高百分比属性
27,忍者小队的职业组合十分重要，最好能攻击、防御与治疗三者兼备,忍者小队的职业组合十分重要，最好能攻击、防御与治疗三者兼备
11,开始追讨叛忍时会自动进行扫荡，扫荡关数为昨日最高通关数-3,开始追讨叛忍时会自动进行扫荡，扫荡关数为昨日最高通关数-3
716,据第五代火影所收的委托中，鸣人、佐助和樱三人被分配了B级任务——前往茶之国保护重要人士。三人需帮助山葵一家赢得四年一次轰大社的祭拜仪式中的赛跑比赛，让次郎长老大重获小镇主权。在得知保护对象为刚对三人挑衅并搭讪小樱的飞毛腿森乃伊驮天时，鸣人非常气愤。赛跑比赛开始，伊驮天并未按原有的路线走，他另辟蹊径但被和芥一家聘请的忍者埋伏下并不顺利。三人为此战斗，而绿青葵的出现彻底破坏了伊驮天的计划。鸣人鼓励伊驮天振作起来并背着他跑上了神社，绿青葵依旧出现伊驮天面前挑衅并破坏考试路径，三人努力抵抗下，鸣人在最后关头一记螺旋丸打破了雷电之剑。伊驮天不负众望跑向终点赢得了比赛。,据第五代火影所收的委托中，鸣人、佐助和樱三人被分配了B级任务——前往茶之国保护重要人士。三人需帮助山葵一家赢得四年一次轰大社的祭拜仪式中的赛跑比赛，让次郎长老大重获小镇主权。在得知保护对象为刚对三人挑衅并搭讪小樱的飞毛腿森乃伊驮天时，鸣人非常气愤。赛跑比赛开始，伊驮天并未按原有的路线走，他另辟蹊径但被和芥一家聘请的忍者埋伏下并不顺利。三人为此战斗，而绿青葵的出现彻底破坏了伊驮天的计划。鸣人鼓励伊驮天振作起来并背着他跑上了神社，绿青葵依旧出现伊驮天面前挑衅并破坏考试路径，三人努力抵抗下，鸣人在最后关头一记螺旋丸打破了雷电之剑。伊驮天不负众望跑向终点赢得了比赛。
